date,dish_id,dish_name,category,qty_sold,restaurant_id,price
2025-06-12,9,Sugar Cookie,Other,2.43,1,3.5
2025-06-13,1,Paneer Tikka,Dairy,2.28,1,12.5
2025-06-13,2,Tomato Soup,Vegetables,1.13,1,8.0
2025-06-13,3,Onion Rings,Vegetables,5.17,1,6.5
2025-06-13,4,Chicken Curry,Meat,3.63,1,15.0
2025-06-13,5,Mutton Biryani,Meat,2.17,1,18.0
2025-06-13,6,Grilled Salmon,Fish,5.25,1,22.0
2025-06-13,7,Egg Fried Rice,Meat,4.42,1,10.0
2025-06-13,8,Basmati Rice,Other,3.75,1,5.0
2025-06-13,9,Sugar Cookie,Other,2.42,1,3.5
2025-06-14,1,Paneer Tikka,Dairy,2.95,1,12.5
2025-06-14,2,Tomato Soup,Vegetables,1.34,1,8.0
2025-06-14,3,Onion Rings,Vegetables,6.6,1,6.5
2025-06-14,4,Chicken Curry,Meat,4.25,1,15.0
2025-06-14,5,Mutton Biryani,Meat,2.46,1,18.0
2025-06-14,6,Grilled Salmon,Fish,6.49,1,22.0
2025-06-14,7,Egg Fried Rice,Meat,5.59,1,10.0
2025-06-14,8,Basmati Rice,Other,4.83,1,5.0
2025-06-14,9,Sugar Cookie,Other,3.25,1,3.5
2025-06-15,1,Paneer Tikka,Dairy,3.28,1,12.5
2025-06-15,2,Tomato Soup,Vegetables,1.36,1,8.0
2025-06-15,3,Onion Rings,Vegetables,7.09,1,6.5
2025-06-15,4,Chicken Curry,Meat,5.16,1,15.0
2025-06-15,5,Mutton Biryani,Meat,2.79,1,18.0
2025-06-15,6,Grilled Salmon,Fish,7.31,1,22.0
2025-06-15,7,Egg Fried Rice,Meat,6.2,1,10.0
2025-06-15,8,Basmati Rice,Other,5.4,1,5.0
2025-06-15,9,Sugar Cookie,Other,3.69,1,3.5
2025-06-16,1,Paneer Tikka,Dairy,2.73,1,12.5
2025-06-16,2,Tomato Soup,Vegetables,1.23,1,8.0
2025-06-16,3,Onion Rings,Vegetables,5.09,1,6.5
2025-06-16,4,Chicken Curry,Meat,3.55,1,15.0
2025-06-16,5,Mutton Biryani,Meat,2.05,1,18.0
2025-06-16,6,Grilled Salmon,Fish,5.43,1,22.0
2025-06-16,7,Egg Fried Rice,Meat,4.37,1,10.0
2025-06-16,8,Basmati Rice,Other,3.93,1,5.0
2025-06-16,9,Sugar Cookie,Other,2.71,1,3.5
2025-06-17,1,Paneer Tikka,Dairy,2.0,1,12.5
2025-06-17,2,Tomato Soup,Vegetables,0.7,1,8.0
2025-06-17,3,Onion Rings,Vegetables,4.29,1,6.5
2025-06-17,4,Chicken Curry,Meat,3.03,1,15.0
2025-06-17,5,Mutton Biryani,Meat,1.93,1,18.0
2025-06-17,6,Grilled Salmon,Fish,4.72,1,22.0
2025-06-17,7,Egg Fried Rice,Meat,3.83,1,10.0
2025-06-17,8,Basmati Rice,Other,3.42,1,5.0
2025-06-17,9,Sugar Cookie,Other,2.25,1,3.5
2025-06-18,1,Paneer Tikka,Dairy,2.65,1,12.5
2025-06-18,2,Tomato Soup,Vegetables,1.24,1,8.0
2025-06-18,3,Onion Rings,Vegetables,5.32,1,6.5
2025-06-18,4,Chicken Curry,Meat,3.96,1,15.0
2025-06-18,5,Mutton Biryani,Meat,2.35,1,18.0
2025-06-18,6,Grilled Salmon,Fish,5.76,1,22.0
2025-06-18,7,Egg Fried Rice,Meat,4.7,1,10.0
2025-06-18,8,Basmati Rice,Other,4.45,1,5.0
2025-06-18,9,Sugar Cookie,Other,2.68,1,3.5
2025-06-19,1,Paneer Tikka,Dairy,2.67,1,12.5
2025-06-19,2,Tomato Soup,Vegetables,1.19,1,8.0
2025-06-19,3,Onion Rings,Vegetables,5.6,1,6.5
2025-06-19,4,Chicken Curry,Meat,4.02,1,15.0
2025-06-19,5,Mutton Biryani,Meat,2.64,1,18.0
2025-06-19,6,Grilled Salmon,Fish,6.01,1,22.0
2025-06-19,7,Egg Fried Rice,Meat,5.07,1,10.0
2025-06-19,8,Basmati Rice,Other,4.03,1,5.0
2025-06-19,9,Sugar Cookie,Other,2.99,1,3.5
2025-06-20,1,Paneer Tikka,Dairy,2.45,1,12.5
2025-06-20,2,Tomato Soup,Vegetables,1.12,1,8.0
2025-06-20,3,Onion Rings,Vegetables,5.5,1,6.5
2025-06-20,4,Chicken Curry,Meat,4.11,1,15.0
2025-06-20,5,Mutton Biryani,Meat,2.15,1,18.0
2025-06-20,6,Grilled Salmon,Fish,5.55,1,22.0
2025-06-20,7,Egg Fried Rice,Meat,4.93,1,10.0
2025-06-20,8,Basmati Rice,Other,4.11,1,5.0
2025-06-20,9,Sugar Cookie,Other,2.69,1,3.5
2025-06-21,1,Paneer Tikka,Dairy,2.79,1,12.5
2025-06-21,2,Tomato Soup,Vegetables,1.46,1,8.0
2025-06-21,3,Onion Rings,Vegetables,6.29,1,6.5
2025-06-21,4,Chicken Curry,Meat,4.66,1,15.0
2025-06-21,5,Mutton Biryani,Meat,2.72,1,18.0
2025-06-21,6,Grilled Salmon,Fish,6.94,1,22.0
2025-06-21,7,Egg Fried Rice,Meat,5.61,1,10.0
2025-06-21,8,Basmati Rice,Other,5.12,1,5.0
2025-06-21,9,Sugar Cookie,Other,3.04,1,3.5
2025-06-22,1,Paneer Tikka,Dairy,2.85,1,12.5
2025-06-22,2,Tomato Soup,Vegetables,1.6,1,8.0
2025-06-22,3,Onion Rings,Vegetables,5.84,1,6.5
2025-06-22,4,Chicken Curry,Meat,4.41,1,15.0
2025-06-22,5,Mutton Biryani,Meat,2.65,1,18.0
2025-06-22,6,Grilled Salmon,Fish,6.44,1,22.0
2025-06-22,7,Egg Fried Rice,Meat,5.34,1,10.0
2025-06-22,8,Basmati Rice,Other,4.64,1,5.0
2025-06-22,9,Sugar Cookie,Other,2.97,1,3.5
2025-06-23,1,Paneer Tikka,Dairy,1.94,1,12.5
2025-06-23,2,Tomato Soup,Vegetables,0.88,1,8.0
2025-06-23,3,Onion Rings,Vegetables,4.45,1,6.5
2025-06-23,4,Chicken Curry,Meat,2.81,1,15.0
2025-06-23,5,Mutton Biryani,Meat,1.79,1,18.0
2025-06-23,6,Grilled Salmon,Fish,3.99,1,22.0
2025-06-23,7,Egg Fried Rice,Meat,3.51,1,10.0
2025-06-23,8,Basmati Rice,Other,3.19,1,5.0
2025-06-23,9,Sugar Cookie,Other,2.2,1,3.5
2025-06-24,1,Paneer Tikka,Dairy,2.61,1,12.5
2025-06-24,2,Tomato Soup,Vegetables,1.08,1,8.0
2025-06-24,3,Onion Rings,Vegetables,5.75,1,6.5
2025-06-24,4,Chicken Curry,Meat,4.05,1,15.0
2025-06-24,5,Mutton Biryani,Meat,2.46,1,18.0
2025-06-24,6,Grilled Salmon,Fish,5.69,1,22.0
2025-06-24,7,Egg Fried Rice,Meat,5.05,1,10.0
2025-06-24,8,Basmati Rice,Other,4.33,1,5.0
2025-06-24,9,Sugar Cookie,Other,2.94,1,3.5
2025-06-25,1,Paneer Tikka,Dairy,2.66,1,12.5
2025-06-25,2,Tomato Soup,Vegetables,1.27,1,8.0
2025-06-25,3,Onion Rings,Vegetables,5.91,1,6.5
2025-06-25,4,Chicken Curry,Meat,3.95,1,15.0
2025-06-25,5,Mutton Biryani,Meat,2.3,1,18.0
2025-06-25,6,Grilled Salmon,Fish,5.72,1,22.0
2025-06-25,7,Egg Fried Rice,Meat,5.03,1,10.0
2025-06-25,8,Basmati Rice,Other,4.27,1,5.0
2025-06-25,9,Sugar Cookie,Other,2.87,1,3.5
2025-06-26,1,Paneer Tikka,Dairy,2.49,1,12.5
2025-06-26,2,Tomato Soup,Vegetables,0.97,1,8.0
2025-06-26,3,Onion Rings,Vegetables,5.62,1,6.5
2025-06-26,4,Chicken Curry,Meat,3.94,1,15.0
2025-06-26,5,Mutton Biryani,Meat,2.25,1,18.0
2025-06-26,6,Grilled Salmon,Fish,5.82,1,22.0
2025-06-26,7,Egg Fried Rice,Meat,4.89,1,10.0
2025-06-26,8,Basmati Rice,Other,4.09,1,5.0
2025-06-26,9,Sugar Cookie,Other,2.87,1,3.5
2025-06-27,1,Paneer Tikka,Dairy,2.05,1,12.5
2025-06-27,2,Tomato Soup,Vegetables,1.15,1,8.0
2025-06-27,3,Onion Rings,Vegetables,4.93,1,6.5
2025-06-27,4,Chicken Curry,Meat,3.34,1,15.0
2025-06-27,5,Mutton Biryani,Meat,2.15,1,18.0
2025-06-27,6,Grilled Salmon,Fish,5.11,1,22.0
2025-06-27,7,Egg Fried Rice,Meat,4.16,1,10.0
2025-06-27,8,Basmati Rice,Other,3.81,1,5.0
2025-06-27,9,Sugar Cookie,Other,2.62,1,3.5
2025-06-28,1,Paneer Tikka,Dairy,2.66,1,12.5
2025-06-28,2,Tomato Soup,Vegetables,1.24,1,8.0
2025-06-28,3,Onion Rings,Vegetables,5.99,1,6.5
2025-06-28,4,Chicken Curry,Meat,3.68,1,15.0
2025-06-28,5,Mutton Biryani,Meat,2.48,1,18.0
2025-06-28,6,Grilled Salmon,Fish,5.72,1,22.0
2025-06-28,7,Egg Fried Rice,Meat,4.84,1,10.0
2025-06-28,8,Basmati Rice,Other,4.58,1,5.0
2025-06-28,9,Sugar Cookie,Other,2.82,1,3.5
2025-06-29,1,Paneer Tikka,Dairy,3.58,1,12.5
2025-06-29,2,Tomato Soup,Vegetables,1.79,1,8.0
2025-06-29,3,Onion Rings,Vegetables,7.85,1,6.5
2025-06-29,4,Chicken Curry,Meat,5.44,1,15.0
2025-06-29,5,Mutton Biryani,Meat,3.34,1,18.0
2025-06-29,6,Grilled Salmon,Fish,8.03,1,22.0
2025-06-29,7,Egg Fried Rice,Meat,6.84,1,10.0
2025-06-29,8,Basmati Rice,Other,5.7,1,5.0
2025-06-29,9,Sugar Cookie,Other,4.26,1,3.5
2025-06-30,1,Paneer Tikka,Dairy,2.44,1,12.5
2025-06-30,2,Tomato Soup,Vegetables,0.89,1,8.0
2025-06-30,3,Onion Rings,Vegetables,4.78,1,6.5
2025-06-30,4,Chicken Curry,Meat,3.79,1,15.0
2025-06-30,5,Mutton Biryani,Meat,1.86,1,18.0
2025-06-30,6,Grilled Salmon,Fish,4.61,1,22.0
2025-06-30,7,Egg Fried Rice,Meat,3.99,1,10.0
2025-06-30,8,Basmati Rice,Other,3.67,1,5.0
2025-06-30,9,Sugar Cookie,Other,2.47,1,3.5
2025-07-01,1,Paneer Tikka,Dairy,2.54,1,12.5
2025-07-01,2,Tomato Soup,Vegetables,0.99,1,8.0
2025-07-01,3,Onion Rings,Vegetables,5.53,1,6.5
2025-07-01,4,Chicken Curry,Meat,4.1,1,15.0
2025-07-01,5,Mutton Biryani,Meat,2.42,1,18.0
2025-07-01,6,Grilled Salmon,Fish,5.42,1,22.0
2025-07-01,7,Egg Fried Rice,Meat,4.81,1,10.0
2025-07-01,8,Basmati Rice,Other,4.46,1,5.0
2025-07-01,9,Sugar Cookie,Other,3.12,1,3.5
2025-07-02,1,Paneer Tikka,Dairy,2.44,1,12.5
2025-07-02,2,Tomato Soup,Vegetables,0.96,1,8.0
2025-07-02,3,Onion Rings,Vegetables,5.08,1,6.5
2025-07-02,4,Chicken Curry,Meat,3.65,1,15.0
2025-07-02,5,Mutton Biryani,Meat,2.26,1,18.0
2025-07-02,6,Grilled Salmon,Fish,5.4,1,22.0
2025-07-02,7,Egg Fried Rice,Meat,4.4,1,10.0
2025-07-02,8,Basmati Rice,Other,3.78,1,5.0
2025-07-02,9,Sugar Cookie,Other,2.49,1,3.5
2025-07-03,1,Paneer Tikka,Dairy,2.01,1,12.5
2025-07-03,2,Tomato Soup,Vegetables,0.57,1,8.0
2025-07-03,3,Onion Rings,Vegetables,4.12,1,6.5
2025-07-03,4,Chicken Curry,Meat,2.98,1,15.0
2025-07-03,5,Mutton Biryani,Meat,1.98,1,18.0
2025-07-03,6,Grilled Salmon,Fish,4.26,1,22.0
2025-07-03,7,Egg Fried Rice,Meat,3.73,1,10.0
2025-07-03,8,Basmati Rice,Other,3.11,1,5.0
2025-07-03,9,Sugar Cookie,Other,1.97,1,3.5
2025-07-04,1,Paneer Tikka,Dairy,2.39,1,12.5
2025-07-04,2,Tomato Soup,Vegetables,1.18,1,8.0
2025-07-04,3,Onion Rings,Vegetables,4.76,1,6.5
2025-07-04,4,Chicken Curry,Meat,3.78,1,15.0
2025-07-04,5,Mutton Biryani,Meat,1.97,1,18.0
2025-07-04,6,Grilled Salmon,Fish,4.88,1,22.0
2025-07-04,7,Egg Fried Rice,Meat,4.08,1,10.0
2025-07-04,8,Basmati Rice,Other,3.53,1,5.0
2025-07-04,9,Sugar Cookie,Other,2.69,1,3.5
2025-07-05,1,Paneer Tikka,Dairy,3.18,1,12.5
2025-07-05,2,Tomato Soup,Vegetables,1.56,1,8.0
2025-07-05,3,Onion Rings,Vegetables,7.43,1,6.5
2025-07-05,4,Chicken Curry,Meat,5.28,1,15.0
2025-07-05,5,Mutton Biryani,Meat,2.89,1,18.0
2025-07-05,6,Grilled Salmon,Fish,7.18,1,22.0
2025-07-05,7,Egg Fried Rice,Meat,6.05,1,10.0
2025-07-05,8,Basmati Rice,Other,5.59,1,5.0
2025-07-05,9,Sugar Cookie,Other,3.67,1,3.5
2025-07-06,1,Paneer Tikka,Dairy,2.82,1,12.5
2025-07-06,2,Tomato Soup,Vegetables,1.22,1,8.0
2025-07-06,3,Onion Rings,Vegetables,6.07,1,6.5
2025-07-06,4,Chicken Curry,Meat,4.51,1,15.0
2025-07-06,5,Mutton Biryani,Meat,2.73,1,18.0
2025-07-06,6,Grilled Salmon,Fish,6.65,1,22.0
2025-07-06,7,Egg Fried Rice,Meat,5.6,1,10.0
2025-07-06,8,Basmati Rice,Other,4.81,1,5.0
2025-07-06,9,Sugar Cookie,Other,3.39,1,3.5
2025-07-07,1,Paneer Tikka,Dairy,2.09,1,12.5
2025-07-07,2,Tomato Soup,Vegetables,0.97,1,8.0
2025-07-07,3,Onion Rings,Vegetables,4.68,1,6.5
2025-07-07,4,Chicken Curry,Meat,3.01,1,15.0
2025-07-07,5,Mutton Biryani,Meat,2.03,1,18.0
2025-07-07,6,Grilled Salmon,Fish,4.9,1,22.0
2025-07-07,7,Egg Fried Rice,Meat,4.05,1,10.0
2025-07-07,8,Basmati Rice,Other,3.52,1,5.0
2025-07-07,9,Sugar Cookie,Other,2.44,1,3.5
2025-07-08,1,Paneer Tikka,Dairy,2.71,1,12.5
2025-07-08,2,Tomato Soup,Vegetables,1.22,1,8.0
2025-07-08,3,Onion Rings,Vegetables,5.79,1,6.5
2025-07-08,4,Chicken Curry,Meat,4.11,1,15.0
2025-07-08,5,Mutton Biryani,Meat,2.28,1,18.0
2025-07-08,6,Grilled Salmon,Fish,5.98,1,22.0
2025-07-08,7,Egg Fried Rice,Meat,5.07,1,10.0
2025-07-08,8,Basmati Rice,Other,4.75,1,5.0
2025-07-08,9,Sugar Cookie,Other,3.08,1,3.5
2025-07-09,1,Paneer Tikka,Dairy,2.39,1,12.5
2025-07-09,2,Tomato Soup,Vegetables,1.3,1,8.0
2025-07-09,3,Onion Rings,Vegetables,5.27,1,6.5
2025-07-09,4,Chicken Curry,Meat,3.85,1,15.0
2025-07-09,5,Mutton Biryani,Meat,2.35,1,18.0
2025-07-09,6,Grilled Salmon,Fish,5.43,1,22.0
2025-07-09,7,Egg Fried Rice,Meat,4.98,1,10.0
2025-07-09,8,Basmati Rice,Other,4.22,1,5.0
2025-07-09,9,Sugar Cookie,Other,2.43,1,3.5
2025-07-10,1,Paneer Tikka,Dairy,2.32,1,12.5
2025-07-10,2,Tomato Soup,Vegetables,1.14,1,8.0
2025-07-10,3,Onion Rings,Vegetables,5.24,1,6.5
2025-07-10,4,Chicken Curry,Meat,3.68,1,15.0
2025-07-10,5,Mutton Biryani,Meat,1.87,1,18.0
2025-07-10,6,Grilled Salmon,Fish,5.1,1,22.0
2025-07-10,7,Egg Fried Rice,Meat,4.56,1,10.0
2025-07-10,8,Basmati Rice,Other,4.12,1,5.0
2025-07-10,9,Sugar Cookie,Other,2.87,1,3.5
2025-07-11,1,Paneer Tikka,Dairy,2.58,1,12.5
2025-07-11,2,Tomato Soup,Vegetables,1.5,1,8.0
2025-07-11,3,Onion Rings,Vegetables,5.98,1,6.5
2025-07-11,4,Chicken Curry,Meat,4.63,1,15.0
2025-07-11,5,Mutton Biryani,Meat,2.67,1,18.0
2025-07-11,6,Grilled Salmon,Fish,6.23,1,22.0
2025-07-11,7,Egg Fried Rice,Meat,5.69,1,10.0
2025-07-11,8,Basmati Rice,Other,4.86,1,5.0
2025-07-11,9,Sugar Cookie,Other,2.85,1,3.5
2025-07-12,1,Paneer Tikka,Dairy,2.8,1,12.5
2025-07-12,2,Tomato Soup,Vegetables,1.41,1,8.0
2025-07-12,3,Onion Rings,Vegetables,6.26,1,6.5
2025-07-12,4,Chicken Curry,Meat,4.64,1,15.0
2025-07-12,5,Mutton Biryani,Meat,2.45,1,18.0
2025-07-12,6,Grilled Salmon,Fish,6.51,1,22.0
2025-07-12,7,Egg Fried Rice,Meat,5.72,1,10.0
2025-07-12,8,Basmati Rice,Other,4.69,1,5.0
2025-07-12,9,Sugar Cookie,Other,3.2,1,3.5
2025-07-13,1,Paneer Tikka,Dairy,2.81,1,12.5
2025-07-13,2,Tomato Soup,Vegetables,1.49,1,8.0
2025-07-13,3,Onion Rings,Vegetables,6.34,1,6.5
2025-07-13,4,Chicken Curry,Meat,4.29,1,15.0
2025-07-13,5,Mutton Biryani,Meat,2.92,1,18.0
2025-07-13,6,Grilled Salmon,Fish,6.57,1,22.0
2025-07-13,7,Egg Fried Rice,Meat,5.42,1,10.0
2025-07-13,8,Basmati Rice,Other,4.71,1,5.0
2025-07-13,9,Sugar Cookie,Other,3.05,1,3.5
2025-07-14,1,Paneer Tikka,Dairy,2.55,1,12.5
2025-07-14,2,Tomato Soup,Vegetables,1.3,1,8.0
2025-07-14,3,Onion Rings,Vegetables,5.57,1,6.5
2025-07-14,4,Chicken Curry,Meat,4.01,1,15.0
2025-07-14,5,Mutton Biryani,Meat,2.33,1,18.0
2025-07-14,6,Grilled Salmon,Fish,5.82,1,22.0
2025-07-14,7,Egg Fried Rice,Meat,4.79,1,10.0
2025-07-14,8,Basmati Rice,Other,4.38,1,5.0
2025-07-14,9,Sugar Cookie,Other,2.9,1,3.5
2025-07-15,1,Paneer Tikka,Dairy,2.07,1,12.5
2025-07-15,2,Tomato Soup,Vegetables,0.91,1,8.0
2025-07-15,3,Onion Rings,Vegetables,4.66,1,6.5
2025-07-15,4,Chicken Curry,Meat,3.19,1,15.0
2025-07-15,5,Mutton Biryani,Meat,2.13,1,18.0
2025-07-15,6,Grilled Salmon,Fish,4.86,1,22.0
2025-07-15,7,Egg Fried Rice,Meat,4.34,1,10.0
2025-07-15,8,Basmati Rice,Other,3.97,1,5.0
2025-07-15,9,Sugar Cookie,Other,2.39,1,3.5
2025-07-16,1,Paneer Tikka,Dairy,1.76,1,12.5
2025-07-16,2,Tomato Soup,Vegetables,0.86,1,8.0
2025-07-16,3,Onion Rings,Vegetables,3.72,1,6.5
2025-07-16,4,Chicken Curry,Meat,2.73,1,15.0
2025-07-16,5,Mutton Biryani,Meat,1.7,1,18.0
2025-07-16,6,Grilled Salmon,Fish,3.96,1,22.0
2025-07-16,7,Egg Fried Rice,Meat,3.28,1,10.0
2025-07-16,8,Basmati Rice,Other,2.89,1,5.0
2025-07-16,9,Sugar Cookie,Other,2.24,1,3.5
2025-07-17,1,Paneer Tikka,Dairy,2.08,1,12.5
2025-07-17,2,Tomato Soup,Vegetables,1.0,1,8.0
2025-07-17,3,Onion Rings,Vegetables,4.93,1,6.5
2025-07-17,4,Chicken Curry,Meat,3.25,1,15.0
2025-07-17,5,Mutton Biryani,Meat,2.08,1,18.0
2025-07-17,6,Grilled Salmon,Fish,4.99,1,22.0
2025-07-17,7,Egg Fried Rice,Meat,4.23,1,10.0
2025-07-17,8,Basmati Rice,Other,3.85,1,5.0
2025-07-17,9,Sugar Cookie,Other,2.31,1,3.5
2025-07-18,1,Paneer Tikka,Dairy,2.52,1,12.5
2025-07-18,2,Tomato Soup,Vegetables,1.2,1,8.0
2025-07-18,3,Onion Rings,Vegetables,5.92,1,6.5
2025-07-18,4,Chicken Curry,Meat,4.14,1,15.0
2025-07-18,5,Mutton Biryani,Meat,2.41,1,18.0
2025-07-18,6,Grilled Salmon,Fish,5.68,1,22.0
2025-07-18,7,Egg Fried Rice,Meat,5.02,1,10.0
2025-07-18,8,Basmati Rice,Other,4.27,1,5.0
2025-07-18,9,Sugar Cookie,Other,2.73,1,3.5
2025-07-19,1,Paneer Tikka,Dairy,2.8,1,12.5
2025-07-19,2,Tomato Soup,Vegetables,1.0,1,8.0
2025-07-19,3,Onion Rings,Vegetables,6.06,1,6.5
2025-07-19,4,Chicken Curry,Meat,4.23,1,15.0
2025-07-19,5,Mutton Biryani,Meat,2.43,1,18.0
2025-07-19,6,Grilled Salmon,Fish,6.28,1,22.0
2025-07-19,7,Egg Fried Rice,Meat,5.25,1,10.0
2025-07-19,8,Basmati Rice,Other,4.47,1,5.0
2025-07-19,9,Sugar Cookie,Other,2.9,1,3.5
2025-07-20,1,Paneer Tikka,Dairy,2.88,1,12.5
2025-07-20,2,Tomato Soup,Vegetables,1.44,1,8.0
2025-07-20,3,Onion Rings,Vegetables,6.67,1,6.5
2025-07-20,4,Chicken Curry,Meat,4.74,1,15.0
2025-07-20,5,Mutton Biryani,Meat,2.87,1,18.0
2025-07-20,6,Grilled Salmon,Fish,6.9,1,22.0
2025-07-20,7,Egg Fried Rice,Meat,5.98,1,10.0
2025-07-20,8,Basmati Rice,Other,5.17,1,5.0
2025-07-20,9,Sugar Cookie,Other,3.33,1,3.5
2025-07-21,1,Paneer Tikka,Dairy,2.01,1,12.5
2025-07-21,2,Tomato Soup,Vegetables,0.99,1,8.0
2025-07-21,3,Onion Rings,Vegetables,4.35,1,6.5
2025-07-21,4,Chicken Curry,Meat,2.78,1,15.0
2025-07-21,5,Mutton Biryani,Meat,1.74,1,18.0
2025-07-21,6,Grilled Salmon,Fish,4.21,1,22.0
2025-07-21,7,Egg Fried Rice,Meat,3.54,1,10.0
2025-07-21,8,Basmati Rice,Other,3.14,1,5.0
2025-07-21,9,Sugar Cookie,Other,1.81,1,3.5
2025-07-22,1,Paneer Tikka,Dairy,2.55,1,12.5
2025-07-22,2,Tomato Soup,Vegetables,1.34,1,8.0
2025-07-22,3,Onion Rings,Vegetables,5.66,1,6.5
2025-07-22,4,Chicken Curry,Meat,3.68,1,15.0
2025-07-22,5,Mutton Biryani,Meat,2.23,1,18.0
2025-07-22,6,Grilled Salmon,Fish,5.44,1,22.0
2025-07-22,7,Egg Fried Rice,Meat,4.87,1,10.0
2025-07-22,8,Basmati Rice,Other,3.79,1,5.0
2025-07-22,9,Sugar Cookie,Other,2.74,1,3.5
2025-07-23,1,Paneer Tikka,Dairy,1.46,1,12.5
2025-07-23,2,Tomato Soup,Vegetables,0.58,1,8.0
2025-07-23,3,Onion Rings,Vegetables,3.81,1,6.5
2025-07-23,4,Chicken Curry,Meat,2.97,1,15.0
2025-07-23,5,Mutton Biryani,Meat,1.56,1,18.0
2025-07-23,6,Grilled Salmon,Fish,4.06,1,22.0
2025-07-23,7,Egg Fried Rice,Meat,3.28,1,10.0
2025-07-23,8,Basmati Rice,Other,3.14,1,5.0
2025-07-23,9,Sugar Cookie,Other,1.84,1,3.5
2025-07-24,1,Paneer Tikka,Dairy,2.43,1,12.5
2025-07-24,2,Tomato Soup,Vegetables,1.12,1,8.0
2025-07-24,3,Onion Rings,Vegetables,5.62,1,6.5
2025-07-24,4,Chicken Curry,Meat,3.93,1,15.0
2025-07-24,5,Mutton Biryani,Meat,2.57,1,18.0
2025-07-24,6,Grilled Salmon,Fish,5.73,1,22.0
2025-07-24,7,Egg Fried Rice,Meat,4.64,1,10.0
2025-07-24,8,Basmati Rice,Other,4.17,1,5.0
2025-07-24,9,Sugar Cookie,Other,2.72,1,3.5
2025-07-25,1,Paneer Tikka,Dairy,2.61,1,12.5
2025-07-25,2,Tomato Soup,Vegetables,1.2,1,8.0
2025-07-25,3,Onion Rings,Vegetables,5.68,1,6.5
2025-07-25,4,Chicken Curry,Meat,3.8,1,15.0
2025-07-25,5,Mutton Biryani,Meat,2.31,1,18.0
2025-07-25,6,Grilled Salmon,Fish,5.69,1,22.0
2025-07-25,7,Egg Fried Rice,Meat,5.0,1,10.0
2025-07-25,8,Basmati Rice,Other,4.2,1,5.0
2025-07-25,9,Sugar Cookie,Other,2.72,1,3.5
2025-07-26,1,Paneer Tikka,Dairy,2.61,1,12.5
2025-07-26,2,Tomato Soup,Vegetables,1.11,1,8.0
2025-07-26,3,Onion Rings,Vegetables,5.51,1,6.5
2025-07-26,4,Chicken Curry,Meat,3.53,1,15.0
2025-07-26,5,Mutton Biryani,Meat,2.45,1,18.0
2025-07-26,6,Grilled Salmon,Fish,5.37,1,22.0
2025-07-26,7,Egg Fried Rice,Meat,4.58,1,10.0
2025-07-26,8,Basmati Rice,Other,4.31,1,5.0
2025-07-26,9,Sugar Cookie,Other,2.53,1,3.5
2025-07-27,1,Paneer Tikka,Dairy,2.8,1,12.5
2025-07-27,2,Tomato Soup,Vegetables,1.18,1,8.0
2025-07-27,3,Onion Rings,Vegetables,6.26,1,6.5
2025-07-27,4,Chicken Curry,Meat,4.47,1,15.0
2025-07-27,5,Mutton Biryani,Meat,2.25,1,18.0
